date,open,close,high,low,volume,money
2020-01-02,16.24,16.46,16.53,16.14,156881431.0,2571196482.14
2020-01-03,16.52,16.76,16.88,16.5,114433794.0,1914495474.63
2020-01-06,16.59,16.65,16.91,16.49,88381961.0,1477930193.19
2020-01-07,16.71,16.73,16.86,16.53,74697828.0,1247047135.26
2020-01-08,16.58,16.25,16.63,16.22,86920070.0,1423608811.18
2020-01-09,16.4,16.38,16.51,16.12,105764778.0,1725326806.25
2020-01-10,16.38,16.28,16.4,16.11,60031215.0,975154818.78
2020-01-13,16.34,16.57,16.61,16.2,89412286.0,1468271683.72
2020-01-14,16.57,16.35,16.85,16.35,133738446.0,2217608852.69
2020-01-15,16.38,16.11,16.45,16.05,88110855.0,1424889228.07
2020-01-16,16.11,15.93,16.16,15.8,105402674.0,1678888507.83
2020-01-17,15.98,15.99,16.14,15.95,62070184.0,995909007.35
2020-01-20,16.03,16.05,16.2,15.95,76488587.0,1226464649.55
2020-01-21,15.94,15.61,15.94,15.54,91920956.0,1442171431.55
2020-01-22,15.53,15.69,15.76,15.32,73760511.0,1150933398.98
2020-01-23,15.53,15.16,15.53,15.01,112834180.0,1723394336.66
2020-02-03,13.65,13.65,14.34,13.65,231615694.0,3201454164.92
2020-02-04,13.7,14.24,14.3,13.68,174919057.0,2442932842.71
2020-02-05,14.23,14.27,14.52,13.97,152898306.0,2177632043.62
2020-02-06,14.45,14.41,14.5,14.15,121571423.0,1740107625.42
2020-02-07,14.24,14.26,14.33,14.06,94817170.0,1345053255.67
2020-02-10,14.15,14.14,14.17,13.95,137326855.0,1931983482.1
2020-02-11,14.24,14.43,14.57,14.2,144299557.0,2077194138.92
2020-02-12,14.43,14.41,14.46,14.24,109749430.0,1573229042.55
2020-02-13,14.35,14.29,14.51,14.25,103875169.0,1491327713.78
2020-02-14,14.39,14.66,14.77,14.34,155056844.0,2253906452.48
2020-02-17,14.67,14.99,14.99,14.56,158261792.0,2337993586.12
2020-02-18,14.95,14.83,14.95,14.64,99816048.0,1478274222.58
2020-02-19,14.73,14.87,14.99,14.71,89614619.0,1333730218.97
2020-02-20,14.89,15.21,15.24,14.73,126659416.0,1897923029.04
2020-02-21,15.11,15.2,15.33,15.07,102016020.0,1546692930.16
2020-02-24,15.08,14.86,15.08,14.78,122184376.0,1820183854.52
2020-02-25,14.63,14.67,14.76,14.42,117343371.0,1710369786.03
2020-02-26,14.41,14.62,14.89,14.34,120626528.0,1769612245.37
2020-02-27,14.59,14.74,14.78,14.52,99986085.0,1464605739.46
2020-02-28,14.48,14.14,14.67,14.1,133343819.0,1906892413.31
2020-03-02,14.19,14.43,14.58,14.1,114473352.0,1647432269.71
2020-03-03,14.59,14.36,14.62,14.27,118267017.0,1705816271.89
2020-03-04,14.32,14.33,14.42,14.15,88434424.0,1261123063.83
2020-03-05,14.44,15.01,15.26,14.37,275434087.0,4089493523.03
2020-03-06,14.81,14.66,14.89,14.65,125950654.0,1858691259.32
2020-03-09,14.35,14.09,14.37,14.07,170779395.0,2420392130.73
2020-03-10,14.03,14.4,14.48,14.03,119731088.0,1709084565.32
2020-03-11,14.41,14.33,14.51,14.26,83491502.0,1201250682.16
2020-03-12,14.29,14.32,14.48,14.17,101137011.0,1447436641.92
2020-03-13,13.56,14.16,14.22,13.56,119925964.0,1669009835.48
2020-03-16,14.09,13.41,14.1,13.41,144165740.0,1975824191.21
2020-03-17,13.41,13.08,13.63,12.81,120754671.0,1582506075.02
2020-03-18,13.08,12.4,13.22,12.34,141969957.0,1816836893.63
2020-03-19,12.37,11.93,12.43,11.62,193914730.0,2313863663.48
2020-03-20,12.1,12.21,12.37,11.96,161814869.0,1967487818.45
2020-03-23,11.7,11.85,12.05,11.64,109812012.0,1300469494.43
2020-03-24,12.1,12.3,12.37,11.97,120995719.0,1472909399.72
2020-03-25,12.56,12.55,12.75,12.39,116562438.0,1467534956.16
2020-03-26,12.47,12.74,13.01,12.41,110230175.0,1408651057.34
2020-03-27,12.92,12.83,13.05,12.76,66948374.0,861618663.05
2020-03-30,12.53,12.62,12.72,12.45,67842351.0,852956240.25
2020-03-31,12.73,12.49,12.77,12.47,52631414.0,662915471.38
2020-04-01,12.54,12.57,12.81,12.5,53396812.0,676070117.75
2020-04-02,12.44,12.65,12.65,12.35,53143481.0,663197628.35
2020-04-03,12.5,12.3,12.57,12.24,84615802.0,1047282400.16
2020-04-07,12.57,12.56,12.62,12.49,89225733.0,1121200115.41
2020-04-08,12.56,12.47,12.6,12.41,54204690.0,676604872.29
2020-04-09,12.56,12.43,12.57,12.41,41885482.0,522027888.31
2020-04-10,12.45,12.48,12.66,12.34,68348413.0,853689950.23
2020-04-13,12.36,12.28,12.4,12.16,45746501.0,562008050.35
2020-04-14,12.34,12.54,12.54,12.26,70338549.0,874856562.28
2020-04-15,12.54,12.55,12.61,12.47,67294642.0,843649273.39
2020-04-16,12.48,12.37,12.48,12.23,80905231.0,997623816.45
2020-04-17,12.46,12.57,12.72,12.34,136472804.0,1713215766.82
2020-04-20,12.54,12.67,12.73,12.46,83909193.0,1058524019.15
2020-04-21,12.97,13.12,13.36,12.97,217596260.0,2861879086.09
2020-04-22,13.04,12.9,13.09,12.84,105884327.0,1368222854.71
2020-04-23,12.9,12.9,12.98,12.79,66330248.0,855052110.23
2020-04-24,12.85,12.91,12.95,12.79,58027247.0,747473770.46
2020-04-27,12.97,13.17,13.3,12.92,96045062.0,1263809737.41
2020-04-28,13.12,13.19,13.23,12.94,79101797.0,1038718080.27
2020-04-29,13.15,13.68,13.75,13.12,113667711.0,1541638203.48
2020-04-30,13.68,13.59,13.97,13.54,84020388.0,1155968238.13
2020-05-06,13.42,13.43,13.55,13.28,103443835.0,1382727481.73
2020-05-07,13.42,13.35,13.42,13.27,67945943.0,904349531.99
2020-05-08,13.42,13.61,13.68,13.34,95835078.0,1297924588.29
2020-05-11,13.58,13.66,13.78,13.56,62831467.0,859156594.22
2020-05-12,13.61,13.45,13.7,13.38,57259314.0,772109502.04
2020-05-13,13.41,13.29,13.44,13.2,65650445.0,871062043.61
2020-05-14,13.22,12.97,13.26,12.89,96849054.0,1259440848.24
2020-05-15,13.06,12.9,13.1,12.82,77587588.0,1004313267.93
2020-05-18,12.88,12.88,13.01,12.8,65327480.0,843479669.71
2020-05-19,13.08,13.03,13.12,12.94,61550601.0,801755671.01
2020-05-20,13.05,13.18,13.29,12.94,70826981.0,929928885.93
2020-05-21,13.19,13.07,13.24,13.03,56623770.0,742797057.29
2020-05-22,13.0,12.6,13.01,12.6,87782603.0,1119433491.01
2020-05-25,12.65,12.64,12.66,12.45,42051260.0,528769352.5
2020-05-26,12.7,12.72,12.75,12.62,40620228.0,515451849.4
2020-05-27,12.73,12.68,12.87,12.64,49514011.0,630305864.09
2020-05-28,12.77,12.97,13.08,12.71,96831544.0,1255226999.49
2020-05-29,12.91,12.9,12.94,12.82,46140828.0,594502123.85
2020-06-01,13.0,13.22,13.29,12.98,88990388.0,1173619006.66
2020-06-02,13.19,13.44,13.52,13.18,89040613.0,1194375822.06
2020-06-03,13.53,13.43,13.77,13.39,96432709.0,1308782294.7
2020-06-04,13.42,13.46,13.53,13.31,58765139.0,788707630.29
2020-06-05,13.49,13.48,13.51,13.33,38603891.0,517232135.8
2020-06-08,13.57,13.51,13.74,13.47,59057980.0,802115792.06
2020-06-09,13.53,13.56,13.62,13.42,47802982.0,646895834.84
2020-06-10,13.6,13.38,13.6,13.3,58504089.0,781995749.36
2020-06-11,13.28,12.98,13.29,12.9,135964826.0,1774199978.68
2020-06-12,12.8,12.89,12.92,12.77,103865451.0,1331618728.51
2020-06-15,12.75,12.72,12.87,12.7,66550557.0,850767506.43
2020-06-16,12.8,12.79,12.89,12.76,72370570.0,927043687.82
2020-06-17,12.79,12.75,12.82,12.66,72210233.0,918251153.19
2020-06-18,12.66,12.66,12.7,12.49,112845237.0,1419972017.43
2020-06-19,12.63,12.7,12.74,12.51,155162811.0,1954584919.95
2020-06-22,12.64,12.54,12.66,12.52,132945263.0,1671023278.99
2020-06-23,12.55,12.5,12.59,12.42,99859813.0,1248046646.72
2020-06-24,12.54,12.7,12.78,12.5,153519862.0,1946329095.31
2020-06-29,12.82,12.7,12.87,12.61,104664635.0,1330678288.83
2020-06-30,12.73,12.7,12.78,12.62,94531590.0,1199181601.42
2020-07-01,12.69,13.02,13.05,12.64,171073777.0,2202800843.97
2020-07-02,12.98,13.33,13.38,12.87,261087210.0,3433511084.46
2020-07-03,13.46,14.14,14.21,13.45,379796666.0,5280918011.4
2020-07-06,14.49,15.56,15.56,14.48,474851027.0,7168653356.25
2020-07-07,16.17,15.36,16.5,14.91,399560252.0,6267919683.04
2020-07-08,15.11,15.64,15.88,15.11,265203121.0,4095447757.17
2020-07-09,15.54,15.41,15.54,15.19,226164049.0,3469517329.73
2020-07-10,15.23,14.74,15.36,14.64,217574919.0,3254272377.89
2020-07-13,14.59,14.77,14.96,14.39,195239336.0,2871414844.76
2020-07-14,14.78,14.57,15.07,14.44,196892852.0,2891773817.07
2020-07-15,14.66,14.16,14.74,14.12,205862492.0,2947173149.72
2020-07-16,14.19,14.04,14.44,14.01,194607523.0,2771496391.19
2020-07-17,14.06,14.03,14.17,13.84,130150153.0,1821043927.51
2020-07-20,14.12,14.62,14.65,13.99,199519922.0,2872758056.19
2020-07-21,14.57,14.38,14.57,14.29,126271784.0,1815570300.6
2020-07-22,14.38,14.3,14.54,14.16,132327624.0,1895447229.41
2020-07-23,14.13,13.9,14.18,13.7,204346971.0,2838535210.75
2020-07-24,13.86,13.39,13.88,13.32,184527933.0,2504647111.34
2020-07-27,13.56,13.14,13.57,13.0,189544223.0,2497551472.28
